fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
4.77E+18,Organic Search,0,United States,San Diego,,,,1,,20160824,1472063998,PAGE,,,49990000,,GGOEGEVB070499,Google Bluetooth Headphones,Home/Electronics/,(not set),USD,,,,,Electronics,,/google+redesign/,0,1,
2.35E+18,Direct,229097,United States,not available in demo dataset,,,229,2,,20170521,1495427016,PAGE,,,8990000,,GGOEYOBR078599,YouTube Luggage Tag,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
2.36E+18,Organic Search,0,United States,not available in demo dataset,,,59,2,,20160913,1473835187,PAGE,,,16990000,,GGOEGAAX0346,YouTube Men's Vintage Tee,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube,,/google+redesign/,0,1,
9.05E+18,Direct,0,Philippines,Makati,,,,1,,20161127,1480295937,PAGE,,,18990000,,GGOEGAAX0321,Google Men's Short Sleeve Hero Tee Light Blue,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
6.26E+18,Direct,0,Oman,not available in demo dataset,,,,1,1,20170730,1501473526,PAGE,,,14990000,,GGOEYOCR077799,YouTube Hard Cover Journal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
6.54E+17,Referral,18889,United States,not available in demo dataset,,,19,2,,20160807,1470607797,PAGE,,,16990000,,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,(not set),USD,,,,,Men's,,/google+redesign/,0,1,
7.86E+18,Organic Search,0,United States,San Diego,,,1106,2,,20170406,1491505026,PAGE,,,0,,9180905,Google Men's Long Sleeve Raglan Ocean Blue,(not set),(not set),USD,,,,,Google Women's Fleece Hoodie,,/google+redesign/,0,1,
3.09E+17,Organic Search,124109,Taiwan,(not set),,,124,5,1,20170726,1501056954,PAGE,,,3990000,,GGOEAKDH019899,Windup Android,Home/Accessories/Fun/,(not set),USD,,,,,Fun | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
7.51E+18,Organic Search,6537,United States,not available in demo dataset,,,16,3,,20160901,1472757936,PAGE,,,24990000,,GGOEGAAX0315,Google 3/4 Sleeve Raglan Badge Henley Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,
2.09E+17,Organic Search,0,United States,not available in demo dataset,,,62,2,,20170420,1492745204,PAGE,,,1990000,,GGOEYFKQ020699,YouTube Custom Decals,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
7.73E+18,Organic Search,34558,Germany,not available in demo dataset,,,54,3,1,20170731,1501525308,PAGE,,,11990000,,GGOEGCNB021099,Seat Pack Organizer,Home/Accessories/Fun/,(not set),USD,,,,,Fun | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
5.23E+18,Organic Search,64750,Poland,not available in demo dataset,,,107,5,,20170524,1495665860,PAGE,,,10990000,,GGOEAHPJ074410,Android Twill Cap,Home/Apparel/Headgear/,(not set),USD,,,,,Headgear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
7.71E+17,Organic Search,119896,United States,not available in demo dataset,,,120,5,,20170318,1489899039,PAGE,,,18990000,,GGOEADHH073999,Android 17oz Stainless Steel Sport Bottle,Home/Shop by Brand/,(not set),USD,,,,,Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
8.22E+18,Organic Search,0,United States,not available in demo dataset,,,,1,,20170407,1491621049,PAGE,,,7990000,,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Home/Drinkware/,(not set),USD,,,,,Drinkware | Google Merchandise Store,,/google+redesign/,0,1,
7.28E+18,Direct,0,United States,not available in demo dataset,,,,1,,20160825,1472122844,PAGE,,,18990000,,GGOEGAAX0289,Google Women's Short Sleeve Shirt Dark Grey,Home/Apparel/,(not set),USD,,,,,Apparel,,/store.html,0,1,
7.03E+18,Organic Search,0,Sweden,not available in demo dataset,,,,1,,20160827,1472296813,PAGE,,,74990000,,GGOEGAAX0595,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,,,,,Men's-Outerwear,,/google+redesign/,0,1,
9.67E+18,Referral,21482,Russia,not available in demo dataset,,,336,7,,20161223,1482530643,PAGE,,,18990000,,GGOEGAAX0289,Google Women's Short Sleeve Hero Dark Grey,Home/Apparel/,(not set),USD,,,,,Apparel | Google Merchandise Store,,/store.html,0,1,
9.32E+18,Direct,0,United States,Mountain View,,,83,8,,20161124,1480012278,PAGE,,,199000000,,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Home/Nest/Nest-USA/,(not set),USD,,,,,Nest-USA,,/google+redesign/,0,1,
5.12E+18,Organic Search,0,India,not available in demo dataset,,,46,2,,20161227,1482909281,PAGE,,,16990000,,GGOEGAAX0317,YouTube Men's Short Sleeve Hero Tee White,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
3.74E+18,Organic Search,130165,Taiwan,not available in demo dataset,,,174,7,,20160910,1473520384,PAGE,,,4990000,,GGOEGBJC019999,Collapsible Shopping Bag,Home/Bags/,(not set),USD,,,,,Bags,,/google+redesign/,0,1,
4.08E+16,Organic Search,80450,United States,not available in demo dataset,,,92,7,,20170114,1484439008,PAGE,,,51990000,,GGOEGAAX0362,Google Men's Pullover Hoodie Grey,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,,,,,Men's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
